Genes,Transcription-Direction,Left-End-Position,Right-End-Position,,,,,,,,,
rsmF,+,1918247,1919686,,,,,,,,,
yebV,+,1919804,1920040,,,,,,,,,
yebW,+,1920145,1920336,,,,,,,,,
pphA,-,1920337,1920993,,,,,,,,,
ryeA,+,1921090,1921338,,,,,,,,,
sdsR,-,1921128,1921231,,,,,,,,,
yebY,-,1921389,1921730,,,,,,,,,
yebZ,-,1921743,1922615,,,,,,,,,
yobA,-,1922619,1922993,,,,,,,,,
holE,+,1923132,1923362,,,,,,,,,
yobB,+,1923464,1924120,,,,,,,,,
exoX,+,1924144,1924806,,,,,,,,,
ptrB,-,1924803,1926863,,,,,,,,,
yebE,-,1927072,1927731,,,,,,,,,
yebF,-,1928058,1928414,,,,,,,,,
yebG,-,1928481,1928771,,,,,,,,,
purT,+,1928905,1930083,,,,,,,,,
eda,-,1930139,1930780,,,,,,,,,
edd,-,1930817,1932628,,,,,,,,,
zwf,-,1932863,1934338,,,,,,,,,
yebK,+,1934676,1935545,,,,,,,,,
pykA,+,1935673,1937115,,,,,,,,,
lpxM,-,1937246,1938217,,,,,,,,,
mepM,-,1938337,1939659,,,,,,,,,
znuA,-,1939675,1940607,,,,,,,,,
znuC,+,1940686,1941441,,,,,,,,,
znuB,+,1941438,1942223,,,,,,,,,
ruvB,-,1942370,1943380,,,,,,,,,
ruvA,-,1943389,1944000,,,,,,,,,
yobI,-,1944139,1944204,,,,,,,,,
yebB,+,1944275,1944877,,,,,,,,,
ruvC,-,1944879,1945400,,,,,,,,,
yebC,-,1945435,1946175,,,,,,,,,
nudB,-,1946204,1946656,,,,,,,,,
aspS,-,1946774,1948546,,,,,,,,,
yecD,+,1948856,1949422,,,,,,,,,
yecE,+,1949419,1950237,,,,,,,,,
yecN,+,1950290,1950685,,,,,,,,,
cmoA,+,1950726,1951469,,,,,,,,,
cmoB,+,1951466,1952437,,,,,,,,,
torZ,-,1952602,1955031,,,,,,,,,
torY,-,1955056,1956156,,,,,,,,,
micL,-,1956465,1956544,,,,,,,,,
cutC,-,1956544,1957290,,,,,,,,,
yecM,-,1957304,1957870,,,,,,,,,
argS,+,1958086,1959819,,,,,,,,,
yecT,+,1959996,1960484,,,,,,,,,
flhE,-,1960604,1960996,,,,,,,,,
flhA,-,1960996,1963074,,,,,,,,,
flhB,-,1963067,1964215,,,,,,,,,
cheZ,-,1964417,1965061,,,,,,,,,
cheY,-,1965072,1965461,,,,,,,,,
cheB,-,1965476,1966525,,,,,,,,,
cheR,-,1966528,1967388,,,,,,,,,
tap,-,1967407,1969008,,,,,,,,,
tar,-,1969054,1970715,,,,,,,,,
C0465,+,1970763,1970840,,,,,,,,,
cheW,-,1970860,1971363,,,,,,,,,
cheA,-,1971384,1973348,,,,,,,,,
motB,-,1973353,1974279,,,,,,,,,
motA,-,1974276,1975163,,,,,,,,,
flhC,-,1975290,1975868,,,,,,,,,
flhD,-,1975871,1976221,,,,,,,,,
insB-5,-,1976542,1977045,,,,,,,,,
insAB-5,-,1976542,1977239,,,,,,,,,
insA-5,-,1976964,1977239,,,,,,,,,
uspC,+,1977777,1978205,,,,,,,,,
otsA,-,1978212,1979636,,,,,,,,,
otsB,-,1979611,1980411,,,,,,,,,
araH,-,1980578,1981567,,,,,,,,,
araG,-,1981579,1983093,,,,,,,,,
araF,-,1983163,1984152,,,,,,,,,
ftnB,+,1984949,1985452,,,,,,,,,
yecJ,-,1985531,1985782,,,,,,,,,
isrB,-,1985863,1986022,,,,,,,,,
azuC,-,1985897,1985983,,,,,,,,,
yecR,+,1986246,1986569,,,,,,,,,
ftnA,+,1986740,1987237,,,,,,,,,
yecH,-,1987275,1987514,,,,,,,,,
tyrP,+,1987705,1988916,,,,,,,,,
yecA,-,1988978,1989643,,,,,,,,,
leuZ,-,1989839,1989925,,,,,,,,,
cysT,-,1989938,1990011,,,,,,,,,
glyW,-,1990066,1990141,,,,,,,,,
pgsA,-,1990293,1990841,,,,,,,,,
uvrC,-,1990898,1992730,,,,,,,,,
uvrY,-,1992727,1993383,,,,,,,,,
yecF,+,1993842,1994066,,,,,,,,,
sdiA,-,1994134,1994856,,,,,,,,,
G0-10699,+,1994930,1995121,,,,,,,,,
yecC,-,1995086,1995838,,,,,,,,,
yecS,-,1995835,1996503,,,,,,,,,
dcyD,-,1996518,1997504,,,,,,,,,
fliY,-,1997609,1998409,,,,,,,,,
fliZ,-,1998497,1999048,,,,,,,,,
fliA,-,1999094,1999813,,,,,,,,,
fliC,-,2000134,2001630,,,,,,,,,
fliD,+,2001896,2003302,,,,,,,,,
fliS,+,2003327,2003737,,,,,,,,,
fliT,+,2003737,2004102,,,,,,,,,
amyA,+,2004180,2005667,,,,,,,,,
yedD,-,2005701,2006114,,,,,,,,,
yedE,+,2006301,2007506,,,,,,,,,
yedF,+,2007503,2007736,,,,,,,,,
yedK,+,2007845,2008513,,,,,,,,,
yedL,+,2008624,2009103,,,,,,,,,
yedM,-,2010025,2010375,,,,,,,,,
fliE,-,2010724,2011038,,,,,,,,,
fliF,+,2011253,2012911,,,,,,,,,
fliG,+,2012904,2013899,,,,,,,,,
fliH,+,2013892,2014578,,,,,,,,,
fliI,+,2014578,2015951,,,,,,,,,
fliJ,+,2015970,2016413,,,,,,,,,
fliK,+,2016410,2017537,,,,,,,,,
fliL,+,2017642,2018106,,,,,,,,,
fliM,+,2018111,2019115,,,,,,,,,
fliN,+,2019112,2019525,,,,,,,,,
fliO,+,2019528,2019893,,,,,,,,,
fliP,+,2019893,2020630,,,,,,,,,
fliQ,+,2020640,2020909,,,,,,,,,
fliR,+,2020917,2021702,,,,,,,,,
rcsA,+,2021992,2022615,,,,,,,,,
dsrB,-,2022659,2022847,,,,,,,,,
yodD,+,2023010,2023237,,,,,,,,,
dsrA,-,2023251,2023337,,,,,,,,,
yedP,+,2023535,2024350,,,,,,,,,
yedQ,-,2024347,2026041,,,,,,,,,
yodC,-,2026212,2026394,,,,,,,,,
yedI,-,2026473,2027390,,,,,,,,,
yedA,+,2027563,2028483,,,,,,,,,
vsr,-,2028472,2028942,,,,,,,,,
dcm,-,2028923,2030341,,,,,,,,,
yedJ,-,2030408,2031103,,,,,,,,,
yedR,-,2031143,2031508,,,,,,,,,
rseX,+,2031673,2031763,,,,,,,,,
hchA,+,2033859,2034710,,,,,,,,,
yedV,-,2034818,2036176,,,,,,,,,
yedW,-,2036176,2036847,,,,,,,,,
yedX,+,2036980,2037393,,,,,,,,,
yedY,+,2037502,2038506,,,,,,,,,
yedZ,+,2038507,2039142,,,,,,,,,
zinT,+,2039399,2040049,,,,,,,,,
yodB,+,2040392,2040922,,,,,,,,,
serU,-,2041492,2041581,,,,,,,,,
mtfA,+,2041675,2042472,,,,,,,,,
asnT,+,2042573,2042648,,,,,,,,,
yeeJ,+,2042935,2050038,,,,,,,,,
shiA,+,2051667,2052983,,,,,,,,,
amn,+,2053085,2054539,,,,,,,,,
yeeN,+,2054882,2055598,,,,,,,,,
asnW,-,2056051,2056126,,,,,,,,,
yeeO,-,2056227,2057870,,,,,,,,,
asnU,+,2057875,2057950,,,,,,,,,
cbl,-,2057988,2058938,,,,,,,,,
nac,-,2059040,2059957,,,,,,,,,
asnV,+,2060284,2060359,,,,,,,,,
ldtA,-,2060415,2061347,,,,,,,,,
cobT,-,2061412,2062491,,,,,,,,,
cobS,-,2062503,2063246,,,,,,,,,
cobU,-,2063243,2063788,,,,,,,,,
insH-6,-,2064329,2065345,,,,,,,,,
yoeA,+,2066659,2067051,,,,,,,,,
insD-3,-,2066976,2067881,,,,,,,,,
insCD-3,-,2066976,2068249,,,,,,,,,
insC-3,-,2067839,2068249,,,,,,,,,
yoeE,+,2068268,2068528,,,,,,,,,
yeeP,+,2068810,2069235,,,,,,,,,
isrC,+,2069341,2069535,,,,,,,,,
flu,+,2069563,2072682,,,,,,,,,
yeeR,+,2072803,2074335,,,,,,,,,
yeeS,+,2074332,2074778,,,,,,,,,
yeeT,+,2074841,2075062,,,,,,,,,
cbeA,+,2075136,2075504,,,,,,,,,
cbtA,+,2075593,2075967,,,,,,,,,
yeeW,+,2075964,2076158,,,,,,,,,
yoeF,+,2076599,2076955,,,,,,,,,
yeeX,-,2077056,2077385,,,,,,,,,
yeeA,-,2077557,2078615,,,,,,,,,
sbmC,-,2078813,2079286,,,,,,,,,
dacD,-,2079405,2080571,,,,,,,,,
sbcB,+,2080780,2082207,,,,,,,,,
yeeD,-,2082250,2082477,,,,,,,,,
yeeE,-,2082491,2083549,,,,,,,,,
plaP,-,2083728,2085086,,,,,,,,,
yoeI,-,2085076,2085138,,,,,,,,,
yeeY,-,2085353,2086282,,,,,,,,,
yeeZ,-,2086328,2087152,,,,,,,,,
yoeB,-,2087235,2087489,,,,,,,,,
yefM,-,2087486,2087737,,,,,,,,,
hisL,+,2088020,2088070,,,,,,,,,
hisG,+,2088216,2089115,,,,,,,,,
hisD,+,2089121,2090425,,,,,,,,,
hisC,+,2090422,2091492,,,,,,,,,
hisB,+,2091492,2092559,,,,,,,,,
hisH,+,2092559,2093149,,,,,,,,,
hisA,+,2093149,2093886,,,,,,,,,
hisF,+,2093868,2094644,,,,,,,,,
hisI,+,2094638,2095249,,,,,,,,,
wzzB,-,2095345,2096325,,,,,,,,,
ugd,-,2096471,2097637,,,,,,,,,
gnd,-,2097886,2099292,,,,,,,,,
insH-7,-,2099919,2100935,,,,,,,,,
wbbK,-,2101415,2102533,,,,,,,,,
wbbJ,-,2102518,2103108,,,,,,,,,
wbbI,-,2103089,2104081,,,,,,,,,
wbbH,-,2104084,2105250,,,,,,,,,
glf,-,2105250,2106353,,,,,,,,,
rfbX,-,2106361,2107608,,,,,,,,,
rfbC,-,2107605,2108162,,,,,,,,,
rfbA,-,2108162,2109043,,,,,,,,,
rfbD,-,2109101,2110000,,,,,,,,,
rfbB,-,2110000,2111085,,,,,,,,,
galF,-,2111458,2112351,,,,,,,,,
wcaM,-,2112526,2113920,,,,,,,,,
wcaL,-,2113931,2115151,,,,,,,,,
wcaK,-,2115148,2116428,,,,,,,,,
wzxC,-,2116704,2118182,,,,,,,,,
wcaJ,-,2118184,2119578,,,,,,,,,
cpsG,-,2119633,2121003,,,,,,,,,
cpsB,-,2121108,2122544,,,,,,,,,
wcaI,-,2122547,2123770,,,,,,,,,
gmm,-,2123767,2124246,,,,,,,,,
fcl,-,2124249,2125214,,,,,,,,,
gmd,-,2125217,2126338,,,,,,,,,
wcaF,-,2126364,2126912,,,,,,,,,
wcaE,-,2126928,2127674,,,,,,,,,
wcaD,-,2127685,2128902,,,,,,,,,
wcaC,-,2128877,2130094,,,,,,,,,
wcaB,-,2130091,2130579,,,,,,,,,
wcaA,-,2130582,2131421,,,,,,,,,
wzc,-,2131514,2133676,,,,,,,,,
wzb,-,2133679,2134122,,,,,,,,,
wza,-,2134128,2135267,,,,,,,,,
yegH,+,2135926,2137509,,,,,,,,,
asmA,-,2137783,2139636,,,,,,,,,
dcd,-,2139658,2140239,,,,,,,,,
udk,-,2140331,2140972,,,,,,,,,
yegE,+,2141290,2144607,,,,,,,,,
alkA,-,2144716,2145564,,,,,,,,,
yegD,+,2145698,2147050,,,,,,,,,
yegI,-,2147063,2149009,,,,,,,,,
yegJ,+,2149209,2149670,,,,,,,,,
yegK,-,2149735,2150496,,,,,,,,,
yegL,-,2150493,2151152,,,,,,,,,
sibA,+,2151335,2151478,,,,,,,,,
ibsA,-,2151373,2151432,,,,,,,,,
sibB,+,2151670,2151805,,,,,,,,,
ibsB,-,2151705,2151761,,,,,,,,,
mdtA,+,2152040,2153287,,,,,,,,,
mdtB,+,2153287,2156409,,,,,,,,,
mdtC,+,2156410,2159487,,,,,,,,,
mdtD,+,2159488,2160903,,,,,,,,,
baeS,+,2160900,2162303,,,,,,,,,
baeR,+,2162300,2163022,,,,,,,,,
yegP,+,2163213,2163545,,,,,,,,,
yegQ,+,2163692,2165053,,,,,,,,,
cyaR,+,2165138,2165224,,,,,,,,,
ogrK,-,2165326,2165544,,,,,,,,,
yegR,-,2166013,2166330,,,,,,,,,
yegS,+,2166736,2167635,,,,,,,,,
gatR_1,-,2167717,2168163,,,,,,,,,
insE-5,+,2168251,2168559,,,,,,,,,
insEF-5,+,2168251,2169422,,,,,,,,,
insF-5,+,2168556,2169422,,,,,,,,,
gatR_2,-,2169419,2169757,,,,,,,,,
gatD,-,2169857,2170897,,,,,,,,,
gatC,-,2170945,2172300,,,,,,,,,
gatB,-,2172304,2172588,,,,,,,,,
gatA,-,2172619,2173071,,,,,,,,,
gatZ,-,2173081,2174343,,,,,,,,,
gatY,-,2174372,2175226,,,,,,,,,
fbaB,-,2175534,2176586,,,,,,,,,
yegT,+,2176843,2178120,,,,,,,,,
yegU,+,2178117,2179121,,,,,,,,,
yegV,+,2179118,2180083,,,,,,,,,
yegW,-,2180057,2180803,,,,,,,,,
yegX,-,2180855,2181673,,,,,,,,,
thiD,-,2181738,2182538,,,,,,,,,
thiM,-,2182535,2183323,,,,,,,,,
rcnR,-,2183546,2183818,,,,,,,,,
rcnA,+,2183939,2184763,,,,,,,,,
rcnB,+,2184982,2185320,,,,,,,,,
yehA,-,2185402,2186436,,,,,,,,,
yehB,-,2186452,2188932,,,,,,,,,
yehC,-,2188948,2189667,,,,,,,,,
yehD,-,2189702,2190244,,,,,,,,,
yehE,-,2190537,2190818,,,,,,,,,
mrp,-,2191081,2192190,,,,,,,,,
metG,+,2192322,2194355,,,,,,,,,
yehI,+,2198301,2201933,,,,,,,,,
yehK,+,2201994,2202311,,,,,,,,,
yehL,+,2202618,2203706,,,,,,,,,
yehM,+,2203717,2205996,,,,,,,,,
yehP,+,2205989,2207125,,,,,,,,,
yehQ,+,2207122,2208966,,,,,,,,,
yehR,+,2209247,2209708,,,,,,,,,
yehS,-,2209748,2210218,,,,,,,,,
yehT,-,2210265,2210984,,,,,,,,,
yehU,-,2210981,2212666,,,,,,,,,
mlrA,+,2212888,2213619,,,,,,,,,
yohO,+,2213679,2213786,,,,,,,,,
yehW,-,2213767,2214498,,,,,,,,,
yehX,-,2214503,2215429,,,,,,,,,
yehY,-,2215422,2216579,,,,,,,,,
osmF,-,2216586,2217503,,,,,,,,,
bglX,-,2217714,2220011,,,,,,,,,
dld,+,2220207,2221922,,,,,,,,,
pbpG,-,2221960,2222892,,,,,,,,,
yohC,-,2223066,2223653,,,,,,,,,
yohD,+,2223823,2224401,,,,,,,,,
yohF,-,2224531,2225292,,,,,,,,,
mdtQ,-,2225345,2226433,,,,,,,,,
yohH,-,2226571,2226708,,,,,,,,,
yohP,+,2227004,2227087,,,,,,,,,
dusC,-,2227460,2228407,,,,,,,,,
yohJ,+,2228646,2229044,,,,,,,,,
yohK,+,2229041,2229736,,,,,,,,,
cdd,+,2229866,2230750,,,,,,,,,
sanA,+,2230900,2231619,,,,,,,,,
yeiS,+,2231622,2231861,,,,,,,,,
preT,+,2232055,2233293,,,,,,,,,
preA,+,2233287,2234522,,,,,,,,,
mglC,-,2234765,2235775,,,,,,,,,
mglA,-,2235791,2237311,,,,,,,,,
mglB,-,2237372,2238370,,,,,,,,,
galS,-,2238650,2239690,,,,,,,,,
yeiB,-,2239832,2240989,,,,,,,,,
folE,-,2241006,2241674,,,,,,,,,
yeiG,+,2241932,2242768,,,,,,,,,
cirA,-,2242800,2244791,,,,,,,,,
lysP,-,2245085,2246554,,,,,,,,,
yeiE,-,2246759,2247640,,,,,,,,,
yeiH,+,2247739,2248788,,,,,,,,,
nfo,+,2248862,2249719,,,,,,,,,
yeiI,+,2249722,2250810,,,,,,,,,
nupX,-,2250917,2252167,,,,,,,,,
rihB,-,2252267,2253208,,,,,,,,,
yeiL,+,2253377,2254036,,,,,,,,,
psuT,-,2254107,2255357,,,,,,,,,
psuG,-,2255451,2256389,,,,,,,,,
psuK,-,2256377,2257318,,,,,,,,,
fruA,-,2257741,2259432,,,,,,,,,
fruK,-,2259449,2260387,,,,,,,,,
fruB,-,2260387,2261517,,,,,,,,,
setB,+,2261885,2263066,,,,,,,,,
yeiW,-,2263063,2263317,,,,,,,,,
yeiP,+,2263472,2264044,,,,,,,,,
yeiQ,+,2264267,2265733,,,,,,,,,
yeiR,+,2265851,2266837,,,,,,,,,
lpxT,+,2266876,2267589,,,,,,,,,
mepS,+,2268001,2268567,,,,,,,,,
rtn,+,2268748,2270304,,,,,,,,,
yejA,+,2270386,2272200,,,,,,,,,
yejB,+,2272201,2273295,,,,,,,,,
yejE,+,2273295,2274320,,,,,,,,,
yejF,+,2274322,2275911,,,,,,,,,
yejG,-,2275915,2276259,,,,,,,,,
G0-10700,-,2276280,2276520,,,,,,,,,
bcr,-,2276592,2277782,,,,,,,,,
rsuA,-,2277810,2278505,,,,,,,,,
radD,+,2278654,2280414,,,,,,,,,
rplY,+,2280539,2280823,,,,,,,,,
yejK,-,2280962,2281969,,,,,,,,,
yejL,+,2282151,2282378,,,,,,,,,
yejM,+,2282398,2284158,,,,,,,,,
proL,+,2284233,2284309,,,,,,,,,
yejO,-,2284412,2286922,,,,,,,,,
insH-8,-,2287087,2288103,,,,,,,,,
narP,+,2288522,2289169,,,,,,,,,
ccmH,-,2289380,2290432,,,,,,,,,
ccmG,-,2290429,2290986,,,,,,,,,
ccmF,-,2290983,2292926,,,,,,,,,
ccmE,-,2292923,2293402,,,,,,,,,
ccmD,-,2293399,2293608,,,,,,,,,
ccmC,-,2293605,2294342,,,,,,,,,
ccmB,-,2294384,2295046,,,,,,,,,
ccmA,-,2295043,2295666,,,,,,,,,
napC,-,2295679,2296281,,,,,,,,,
napB,-,2296291,2296740,,,,,,,,,
napH,-,2296737,2297600,,,,,,,,,
napG,-,2297587,2298282,,,,,,,,,
napA,-,2298289,2300775,,,,,,,,,
napD,-,2300772,2301035,,,,,,,,,
napF,-,2301025,2301519,,,,,,,,,
yojO,+,2301628,2301792,,,,,,,,,
eco,+,2301927,2302415,,,,,,,,,
mqo,-,2303130,2304776,,,,,,,,,
yojI,-,2304994,2306637,,,,,,,,,
alkB,-,2306713,2307363,,,,,,,,,
ada,-,2307363,2308427,,,,,,,,,
apbE,-,2308501,2309556,,,,,,,,,
ompC,-,2309668,2310771,,,,,,,,,
micF,+,2311106,2311198,,,,,,,,,
rcsD,+,2311510,2314182,,,,,,,,,
rcsB,+,2314199,2314849,,,,,,,,,
rcsC,-,2315049,2317850,,,,,,,,,
atoS,+,2318065,2319891,,,,,,,,,
atoC,+,2319888,2321273,,,,,,,,,
atoD,+,2321469,2322131,,,,,,,,,
atoA,+,2322131,2322781,,,,,,,,,
atoE,+,2322778,2324100,,,,,,,,,
atoB,+,2324131,2325315,,,,,,,,,
yfaP,-,2325389,2326165,,,,,,,,,
yfaQ,-,2326170,2327819,,,,,,,,,
yfaT,-,2332358,2332981,,,,,,,,,
yfaA,-,2332978,2334666,,,,,,,,,
gyrA,-,2334815,2337442,,,,,,,,,
ubiG,+,2337589,2338311,,,,,,,,,
yfaL,-,2338439,2342191,,,,,,,,,
ypaB,-,2342616,2342759,,,,,,,,,
nrdA,+,2342887,2345172,,,,,,,,,
nrdB,+,2345406,2346536,,,,,,,,,
yfaE,+,2346536,2346790,,,,,,,,,
inaA,-,2346844,2347494,,,,,,,,,
yfaH,+,2347709,2347915,,,,,,,,,
glpQ,-,2347957,2349033,,,,,,,,,
glpT,-,2349038,2350396,,,,,,,,,
glpA,+,2350669,2352297,,,,,,,,,
glpB,+,2352287,2353546,,,,,,,,,
glpC,+,2353543,2354733,,,,,,,,,
yfaD,+,2354926,2355825,,,,,,,,,
yfaU,-,2356064,2356867,,,,,,,,,
yfaV,-,2356885,2358174,,,,,,,,,
yfaW,-,2358231,2359448,,,,,,,,,
yfaX,-,2359451,2360233,,,,,,,,,
yfaY,-,2360453,2361655,,,,,,,,,
yfaZ,-,2361755,2362297,,,,,,,,,
nudI,+,2362576,2363001,,,,,,,,,
ais,-,2363040,2363642,,,,,,,,,
arnB,+,2363932,2365089,,,,,,,,,
arnC,+,2365093,2366061,,,,,,,,,
arnA,+,2366061,2368043,,,,,,,,,
arnD,+,2368040,2368930,,,,,,,,,
arnT,+,2368930,2370582,,,,,,,,,
arnE,+,2370579,2370914,,,,,,,,,
arnF,+,2370914,2371300,,,,,,,,,
pmrD,-,2371294,2371560,,,,,,,,,
menE,-,2371670,2373025,,,,,,,,,
menC,-,2373022,2373984,,,,,,,,,
menB,-,2373984,2374841,,,,,,,,,
menH,-,2374856,2375614,,,,,,,,,
menD,-,2375611,2377281,,,,,,,,,
menF,-,2377370,2378665,,,,,,,,,
elaB,-,2378744,2379049,,,,,,,,,
elaA,-,2379104,2379565,,,,,,,,,
rbn,+,2379630,2380547,,,,,,,,,
elaD,+,2380735,2381946,,,,,,,,,
yfbK,-,2382017,2383744,,,,,,,,,
yfbL,+,2383882,2384853,,,,,,,,,
yfbM,+,2384956,2385459,,,,,,,,,
yfbN,-,2385732,2386448,,,,,,,,,
yfbO,+,2386603,2387079,,,,,,,,,
yfbP,+,2387138,2387986,,,,,,,,,
nuoN,-,2388070,2389527,,,,,,,,,
nuoM,-,2389534,2391063,,,,,,,,,
nuoL,-,2391227,2393068,,,,,,,,,
nuoK,-,2393065,2393367,,,,,,,,,
nuoJ,-,2393364,2393918,,,,,,,,,
nuoI,-,2393930,2394472,,,,,,,,,
nuoH,-,2394487,2395464,,,,,,,,,
nuoG,-,2395461,2398187,,,,,,,,,
nuoF,-,2398240,2399577,,,,,,,,,
nuoE,-,2399574,2400074,,,,,,,,,
nuoC,-,2400077,2401867,,,,,,,,,
nuoB,-,2401973,2402635,,,,,,,,,
nuoA,-,2402651,2403094,,,,,,,,,
lrhA,-,2403725,2404663,,,,,,,,,
alaA,+,2405583,2406800,,,,,,,,,
yfbR,+,2406884,2407483,,,,,,,,,
yfbS,-,2407542,2409374,,,,,,,,,
yfbT,-,2409461,2410111,,,,,,,,,
yfbU,-,2410122,2410616,,,,,,,,,
yfbV,-,2410699,2411154,,,,,,,,,
ackA,+,2411492,2412694,,,,,,,,,
pta,+,2412769,2414913,,,,,,,,,
yfcC,+,2415103,2416623,,,,,,,,,
yfcD,-,2416656,2417198,,,,,,,,,
yfcE,-,2417256,2417810,,,,,,,,,
yfcF,-,2417863,2418507,,,,,,,,,
yfcG,+,2418643,2419290,,,,,,,,,
folX,+,2419347,2419709,,,,,,,,,
yfcH,+,2419730,2420623,,,,,,,,,
yfcI,-,2420671,2421561,,,,,,,,,
hisP,-,2421758,2422531,,,,,,,,,
hisM,-,2422539,2423255,,,,,,,,,
hisQ,-,2423252,2423938,,,,,,,,,
hisJ,-,2424028,2424810,,,,,,,,,
argT,-,2425031,2425813,,,,,,,,,
ubiX,-,2426079,2426648,,,,,,,,,
purF,-,2426743,2428260,,,,,,,,,
cvpA,-,2428297,2428785,,,,,,,,,
dedD,-,2429044,2429706,,,,,,,,,
folC,-,2429696,2430964,,,,,,,,,
accD,-,2431034,2431948,,,,,,,,,
dedA,-,2432104,2432763,,,,,,,,,
truA,-,2432846,2433658,,,,,,,,,
usg,-,2433658,2434671,,,,,,,,,
pdxB,-,2434737,2435873,,,,,,,,,
flk,+,2435972,2436967,,,,,,,,,
yfcJ,-,2436964,2438142,,,,,,,,,
fabB,-,2438407,2439627,,,,,,,,,
mnmC,+,2439786,2441792,,,,,,,,,
yfcL,-,2441913,2442191,,,,,,,,,
epmC,-,2442225,2442773,,,,,,,,,
yfcA,-,2442773,2443582,,,,,,,,,
mepA,-,2443582,2444406,,,,,,,,,
aroC,-,2444410,2445495,,,,,,,,,
prmB,-,2445530,2446462,,,,,,,,,
smrB,+,2446628,2447179,,,,,,,,,
yfcO,-,2447250,2448071,,,,,,,,,
yfcP,-,2448073,2448612,,,,,,,,,
yfcQ,-,2448609,2449097,,,,,,,,,
yfcR,-,2449094,2449606,,,,,,,,,
yfcS,-,2449606,2450358,,,,,,,,,
yfcT,-,2450378,2451274,,,,,,,,,
yfcU,-,2451287,2453023,,,,,,,,,
yfcV,-,2453105,2453668,,,,,,,,,
sixA,-,2454349,2454834,,,,,,,,,
fadJ,-,2455037,2457181,,,,,,,,,
fadI,-,2457181,2458491,,,,,,,,,
yfcZ,-,2458672,2458956,,,,,,,,,
fadL,+,2459322,2460668,,,,,,,,,
yfdF,+,2461034,2462092,,,,,,,,,
mlaA,-,2462274,2463029,,,,,,,,,
yfdC,+,2463323,2464255,,,,,,,,,
argW,+,2464331,2464405,,,,,,,,,
intS,+,2464567,2465724,,,,,,,,,
yfdG,+,2465877,2466239,,,,,,,,,
yfdH,+,2466236,2467156,,,,,,,,,
yfdI,+,2467153,2468484,,,,,,,,,
yfdK,-,2469099,2469539,,,,,,,,,
yfdL,-,2469566,2470084,,,,,,,,,
yfdM,-,2470134,2470409,,,,,,,,,
yfdN,-,2470409,2470903,,,,,,,,,
yfdO,-,2470900,2471268,,,,,,,,,
yfdP,+,2471542,2471988,,,,,,,,,
yfdQ,+,2472054,2472878,,,,,,,,,
yfdR,+,2473006,2473542,,,,,,,,,
yfdS,+,2473533,2473895,,,,,,,,,
yfdT,+,2473895,2474200,,,,,,,,,
ypdJ,+,2474116,2474256,,,,,,,,,
torI,+,2474332,2474532,,,,,,,,,
dsdC,-,2474716,2475651,,,,,,,,,
dsdX,+,2475869,2477206,,,,,,,,,
dsdA,+,2477224,2478552,,,,,,,,,
emrY,-,2478660,2480198,,,,,,,,,
emrK,-,2480198,2481361,,,,,,,,,
evgA,+,2481777,2482391,,,,,,,,,
evgS,+,2482396,2485989,,,,,,,,,
yfdE,-,2486045,2487190,,,,,,,,,
yfdV,-,2487264,2488208,,,,,,,,,
oxc,-,2488278,2489972,,,,,,,,,
frc,-,2490026,2491276,,,,,,,,,
yfdX,-,2491789,2492424,,,,,,,,,
ypdI,+,2492720,2492995,,,,,,,,,
yfdY,-,2493072,2493314,,,,,,,,,
lpxP,+,2493667,2494587,,,,,,,,,
tpke70,-,2494216,2494651,,,,,,,,,
ypdK,+,2494943,2495014,,,,,,,,,
alaC,-,2495079,2496317,,,,,,,,,
ypdA,+,2496693,2498390,,,,,,,,,
ypdB,+,2498405,2499139,,,,,,,,,
ypdC,+,2499152,2500009,,,,,,,,,
fryA,-,2500012,2502507,,,,,,,,,
ypdE,-,2502532,2503569,,,,,,,,,
ypdF,-,2503569,2504654,,,,,,,,,
fryC,-,2504669,2505916,,,,,,,,,
fryB,-,2505938,2506264,,,,,,,,,
glk,-,2506483,2507448,,,,,,,,,
yfeO,+,2507652,2508908,,,,,,,,,
ypeC,+,2509023,2509349,,,,,,,,,
mntH,-,2509490,2510728,,,,,,,,,
nupC,+,2511064,2512266,,,,,,,,,
insL-3,+,2512353,2513465,,,,,,,,,
yfeA,-,2513665,2515854,,,,,,,,,
alaX,-,2516063,2516138,,,,,,,,,
alaW,-,2516178,2516253,,,,,,,,,
yfeC,+,2516489,2516833,,,,,,,,,
yfeD,+,2516835,2517227,,,,,,,,,
gltX,-,2517279,2518694,,,,,,,,,
valU,+,2518953,2519028,,,,,,,,,
valX,+,2519073,2519148,,,,,,,,,
valY,+,2519195,2519270,,,,,,,,,
lysV,+,2519275,2519350,,,,,,,,,
xapR,-,2519615,2520499,,,,,,,,,
xapB,-,2520751,2522007,,,,,,,,,
xapA,-,2522067,2522900,,,,,,,,,
yfeN,+,2523149,2523913,,,,,,,,,
yfeR,-,2523952,2524878,,,,,,,,,
yfeH,+,2524968,2525966,,,,,,,,,
ypeB,-,2525963,2526181,,,,,,,,,
ligA,-,2526183,2528198,,,,,,,,,
zipA,-,2528269,2529255,,,,,,,,,
cysZ,+,2529485,2530246,,,,,,,,,
cysK,+,2530431,2531402,,,,,,,,,
ptsH,+,2531786,2532043,,,,,,,,,
ptsI,+,2532088,2533815,,,,,,,,,
